Hour,Month,Day,Hour of Day,Generation (kWh)
232,1,10,15,5.401
233,1,10,16,0.000
234,1,10,17,0.000
235,1,10,18,0.000
236,1,10,19,0.000
237,1,10,20,0.000
238,1,10,21,0.000
239,1,10,22,0.000
240,1,10,23,0.000
241,1,11,0,0.000
242,1,11,1,0.000
243,1,11,2,0.000
244,1,11,3,0.000
245,1,11,4,0.000
246,1,11,5,0.000
247,1,11,6,0.000
248,1,11,7,0.000
249,1,11,8,0.000
250,1,11,9,3.581
251,1,11,10,33.760
252,1,11,11,12.214
253,1,11,12,22.469
254,1,11,13,24.190
255,1,11,14,13.870
256,1,11,15,7.417
257,1,11,16,0.000
258,1,11,17,0.000
259,1,11,18,0.000
260,1,11,19,0.000
261,1,11,20,0.000
262,1,11,21,0.000
263,1,11,22,0.000
264,1,11,23,0.000
265,1,12,0,0.000
266,1,12,1,0.000
267,1,12,2,0.000
268,1,12,3,0.000
269,1,12,4,0.000
270,1,12,5,0.000
271,1,12,6,0.000
272,1,12,7,0.000
273,1,12,8,0.000
274,1,12,9,1.283
275,1,12,10,3.850
276,1,12,11,2.171
277,1,12,12,4.706
278,1,12,13,5.587
279,1,12,14,7.090
280,1,12,15,6.600
281,1,12,16,0.000
282,1,12,17,0.000
283,1,12,18,0.000
284,1,12,19,0.000
285,1,12,20,0.000
286,1,12,21,0.000
287,1,12,22,0.000
288,1,12,23,0.000
289,1,13,0,0.000
290,1,13,1,0.000
291,1,13,2,0.000
292,1,13,3,0.000
293,1,13,4,0.000
294,1,13,5,0.000
295,1,13,6,0.000
296,1,13,7,0.000
297,1,13,8,0.000
298,1,13,9,13.184
299,1,13,10,15.469
300,1,13,11,21.188
301,1,13,12,17.651
302,1,13,13,23.710
303,1,13,14,9.953
304,1,13,15,18.493
305,1,13,16,0.000
306,1,13,17,0.000
307,1,13,18,0.000
308,1,13,19,0.000
309,1,13,20,0.000
310,1,13,21,0.000
311,1,13,22,0.000
312,1,13,23,0.000
313,1,14,0,0.000
314,1,14,1,0.000
315,1,14,2,0.000
316,1,14,3,0.000
317,1,14,4,0.000
318,1,14,5,0.000
319,1,14,6,0.000
320,1,14,7,0.000
321,1,14,8,0.000
322,1,14,9,9.437
323,1,14,10,24.776
324,1,14,11,38.710
325,1,14,12,39.425
326,1,14,13,18.830
327,1,14,14,7.745
328,1,14,15,2.569
329,1,14,16,0.000
330,1,14,17,0.000
331,1,14,18,0.000
332,1,14,19,0.000
333,1,14,20,0.000
334,1,14,21,0.000
335,1,14,22,0.000
336,1,14,23,0.000
337,1,15,0,0.000
338,1,15,1,0.000
339,1,15,2,0.000
340,1,15,3,0.000
341,1,15,4,0.000
342,1,15,5,0.000
343,1,15,6,0.000
344,1,15,7,0.000
345,1,15,8,0.000
346,1,15,9,7.530
347,1,15,10,17.585
348,1,15,11,16.673
349,1,15,12,21.675
350,1,15,13,12.430
351,1,15,14,23.033
352,1,15,15,7.263
353,1,15,16,0.000
354,1,15,17,0.000
355,1,15,18,0.000
356,1,15,19,0.000
357,1,15,20,0.000
358,1,15,21,0.000
359,1,15,22,0.000
360,1,15,23,0.000
361,1,16,0,0.000
362,1,16,1,0.000
363,1,16,2,0.000
364,1,16,3,0.000
365,1,16,4,0.000
366,1,16,5,0.000
367,1,16,6,0.000
368,1,16,7,0.000
369,1,16,8,0.000
370,1,16,9,1.542
371,1,16,10,21.417
372,1,16,11,8.831
373,1,16,12,13.842
374,1,16,13,11.845
375,1,16,14,18.857
376,1,16,15,17.158
377,1,16,16,0.000
378,1,16,17,0.000
